155,4
37,187
195,149
363,55
313,231
440,323
571,24
657,10
707,23
808,8
278,529
424,529
513,538
600,633
542,644
428,657
3,737
10,696
893,802
975,760
1091,785
1106,698
1094,628
1061,562
1019,615
974,590
898,585
799,519
705,508
957,397
1001,397
1005,309
965,295
752,188
779,191
899,97
856,104
939,28
1108,480
1211,445
1229,158
1087,66
1159,878
1217,909
794,874
580,880
448,878
243,876
1141,83
1167,77
1123,140
1164,147
1199,123
1160,111
1212,91
1190,149
