106,43
105,138
103,98
166,128
257,93
352,5
418,117
237,175
258,250
104,407
52,394
316,420
278,481
206,789
347,801
454,644
572,620
660,585
719,611
599,466
630,477
584,321
628,308
515,276
506,237
497,136
589,62
607,133
623,164
726,93
655,215
826,139
862,219
1018,261
987,320
970,335
968,375
992,376
1126,449
1233,549
867,522
878,491
811,436
765,425
736,420
714,371
801,373
757,515
719,457
835,668
947,514
1131,685
1182,780
1265,737
736,835
757,854
708,860
662,856
567,799
565,768
539,774
570,880
402,826
456,886
386,931
275,912
255,946
32,876
5,909
1218,894
825,944
252,346
531,356
