126,283
69,258
59,316
49,365
5,226
3,132
239,5
858,144
892,51
1076,109
1100,252
1013,380
1038,372
1117,488
926,454
899,385
837,372
791,382
696,344
614,285
586,347
597,387
604,431
600,517
494,411
430,407
387,464
286,505
329,572
243,606
61,648
79,760
83,817
131,797
191,801
248,725
319,681
449,653
466,612
520,658
533,575
585,580
710,511
694,467
776,537
823,528
918,549
995,696
1072,721
1107,680
799,769
729,612
883,791
1097,853
1195,943
744,830
702,849
685,909
654,912
603,940
527,927
447,910
438,859
479,830
469,750
435,763
543,775
541,725
592,673
585,812
647,775
685,757
361,785
271,835
225,867
267,887
292,913
378,900
