1170,32
1233,140
1101,248
1061,247
1227,413
879,455
786,177
699,201
712,228
674,230
652,212
542,265
444,67
258,112
121,124
136,279
406,451
487,352
536,463
590,490
648,337
640,284
446,529
136,720
194,751
211,795
410,757
459,777
642,680
647,738
715,731
642,821
944,852
904,756
678,951
720,876
453,886
376,867
343,910
1146,806
1220,834
1274,722
1218,947
1070,712
1075,655
1034,633
1009,650
992,630
1146,674
1107,573
1165,503
970,485
851,574
763,570
