548,807
651,674
489,669
510,603
490,572
472,540
503,489
453,457
454,425
372,502
356,446
318,505
298,471
252,385
216,414
145,349
147,635
421,321
353,275
365,224
303,229
296,340
953,236
357,109
341,133
448,207
483,327
534,332
598,364
629,394
721,375
791,369
777,453
722,450
804,456
902,433
916,391
955,437
997,403
959,336
1039,367
1013,555
864,519
865,594
929,645
714,588
662,546
641,559
595,485
629,492
629,438
667,494
570,531
414,393
393,418
401,451
1154,361
