166,40
165,129
231,142
192,261
208,213
308,214
383,327
252,441
98,430
252,539
44,689
179,350
308,672
337,677
462,760
541,725
523,698
384,906
485,944
494,838
623,892
693,903
717,896
919,943
1030,904
1012,873
1035,788
983,762
1105,902
1116,924
1097,838
1220,689
1251,690
1195,739
1173,633
1222,600
1183,500
1047,580
1019,495
999,405
1106,641
742,661
848,593
833,560
755,517
811,419
803,369
746,329
613,375
967,263
1198,59
848,192
848,102
836,71
754,89
641,182
353,505
