148,8
212,88
273,85
276,107
304,114
321,88
377,99
326,155
327,183
287,212
308,228
242,148
202,211
256,233
359,215
366,156
415,166
441,177
421,217
391,248
479,152
461,138
466,119
454,71
480,38
455,28
498,25
391,18
368,19
299,2
568,38
568,72
640,83
651,116
581,118
519,175
485,215
574,231
593,192
605,176
773,72
699,197
672,208
663,259
674,234
694,261
1175,105
2,723
161,688
238,630
244,556
186,548
206,512
226,498
270,494
295,451
260,368
214,341
205,376
155,449
302,352
329,397
367,423
394,446
415,338
380,305
354,288
436,295
503,316
586,310
586,351
558,362
706,343
631,400
663,484
618,493
589,491
490,492
466,445
449,547
410,569
403,547
382,511
347,528
330,594
313,616
269,637
243,684
301,676
316,701
381,699
406,650
397,601
451,647
459,699
442,765
530,746
543,673
545,649
516,624
516,596
479,586
466,561
532,557
576,555
567,609
